名称,名称(英語),頭数,画像URL,ホームページ,展示施設,生物分類,展示場所の緯度,展示場所の経度,展示場所のイベント情報1,展示場所のイベント情報2,展示場所のイベント情報3
レッサーパンダ,"",9頭,http://www3.city.sabae.fukui.jp/xml/zoo/01.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_01.html,西山動物園,乳類,35.950946,136.180778,9：00ごろ 竹の葉,11：00ごろ リンゴ・バナナ・にんじんなど,16：30ごろ くだものおかゆ(ペースト状にすりつぶしたもの)
フランソワルトン,"",5頭,http://www3.city.sabae.fukui.jp/xml/zoo/02.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_02.html,西山動物園,乳類,35.950203,136.180939,9：30ごろ 木の葉・リンゴ・バナナ・にんじん,16：30ごろ リンゴ・バナナ・ニンジンなど,""
シロテテナガザル,"",6頭,http://www3.city.sabae.fukui.jp/xml/zoo/03.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_03.html,西山動物園,乳類,35.950208,136.181041,9：30ごろ リンゴ・バナナ・ニンジンなど,16：30ごろ リンゴ・バナナ・ニンジンなど,""
ボリビアリスザル,"",11頭,http://www3.city.sabae.fukui.jp/xml/zoo/04.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_04.html,西山動物園,乳類,35.950837,136.180861,9：30ごろ リンゴ・バナナ・ニンジンなど,16：30ごろ リンゴ・バナナ・ニンジンなど,""
アオミミキジ,"",1羽,http://www3.city.sabae.fukui.jp/xml/zoo/05.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_05.html,西山動物園,鳥類,35.950303,136.180893,10：00ごろ にわとり用配合飼料・小松菜,"",""
ミミキジ,"",2羽,http://www3.city.sabae.fukui.jp/xml/zoo/06.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_05.html,西山動物園,鳥類,35.950308,136.180845,10：00ごろ にわとり用配合飼料・小松菜,"",""
キンケイ,"",2羽,http://www3.city.sabae.fukui.jp/xml/zoo/07.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_06.html,西山動物園,鳥類,35.950295,136.180866,10：00ごろ にわとり用配合飼料・小松菜,"",""
ギンケイ,"",3羽,http://www3.city.sabae.fukui.jp/xml/zoo/08.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_06.html,西山動物園,鳥類,35.950753,136.180898,10：00ごろ にわとり用配合飼料・小松菜,"",""
タンチョウ,"",2羽,http://www3.city.sabae.fukui.jp/xml/zoo/09.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_07.html,西山動物園,鳥類,35.950392,136.18,9：30ごろ 魚(アジ)・オキアミ・ツル専用のペレット,"",""
インドクジャク,"",2羽,http://www3.city.sabae.fukui.jp/xml/zoo/10.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_08.html,西山動物園,鳥類,35.950722,136.18092,10：00ごろ にわとり用配合飼料・小松菜,"",""
チャボ,"",3羽,http://www3.city.sabae.fukui.jp/xml/zoo/11.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_09.html,西山動物園,鳥類,35.951039,136.180855,10：00ごろ にわとり用配合飼料・小松菜,"",""
コサンケイ,"",1羽,http://www3.city.sabae.fukui.jp/xml/zoo/12.jpg,http://www.city.sabae.fukui.jp/users/zoo/animals/animal_10.html,西山動物園,鳥類,35.950777,136.180888,10：00ごろ にわとり用配合飼料・小松菜,"",""
